model,noise,accuracy_mean,accuracy_std,f1_mean,f1_std,disagreement_mean
"k=1, uniform",0.0,0.9482857142857142,0.012502201739498668,0.9491346936449586,0.012314413651850658,0.0
"k=1, uniform",0.05,0.9051428571428571,0.02212356666393115,0.9059408220807411,0.022445971056401445,0.05228571428571429
"k=1, uniform",0.1,0.8571428571428571,0.02374226087938712,0.8585165920814652,0.02407431291382364,0.10485714285714284
"k=1, uniform",0.2,0.76,0.03817535435217425,0.7582718480920099,0.04468430689584058,0.20885714285714285
"k=15, uniform",0.0,0.9688571428571429,0.012502201739498675,0.9694367415825667,0.012253756565916407,0.0
"k=15, uniform",0.05,0.9674285714285714,0.010983827580294626,0.9680238801428885,0.010721458712846292,0.0025714285714285713
"k=15, uniform",0.1,0.9654285714285715,0.012224185848402482,0.9660027309483299,0.012039503871469763,0.005714285714285714
"k=15, uniform",0.2,0.9565714285714286,0.015333037559998576,0.9570755573258852,0.01556431466224423,0.018571428571428572
"k=15, distance",0.0,0.9674285714285714,0.012723617425350414,0.9680042512178548,0.012449382854158681,0.0
"k=15, distance",0.05,0.9662857142857142,0.012000716054540114,0.9668828778037662,0.0118522484549504,0.006857142857142858
"k=15, distance",0.1,0.9617142857142857,0.014843255510730118,0.9624283463559354,0.014617817628081748,0.013714285714285715
"k=15, distance",0.2,0.9357142857142857,0.021370849576009623,0.936152922739082,0.021267612362503973,0.042
Выбрано по CV,0.0,0.9697142857142858,0.014131498438605184,0.9703650090444421,0.013833659807556024,0.0
Выбрано по CV,0.05,0.968,0.012764074180625373,0.9686267972797176,0.01256256771621934,0.003428571428571429
Выбрано по CV,0.1,0.9665714285714285,0.012881347308628046,0.9671945619914876,0.012681020163777947,0.0054285714285714284
Выбрано по CV,0.2,0.96,0.01517530924696884,0.9603942019906132,0.015517038288499926,0.015428571428571427
