model,noise,seed,accuracy,f1,disagreement
"k=1, uniform",0.0,0,0.9542857142857143,0.9545454545454546,0.0
"k=1, uniform",0.05,0,0.9257142857142857,0.9273743016759777,0.07428571428571429
"k=1, uniform",0.1,0,0.88,0.88,0.12
"k=1, uniform",0.2,0,0.7885714285714286,0.783625730994152,0.21142857142857144
"k=15, uniform",0.0,0,0.96,0.96045197740113,0.0
"k=15, uniform",0.05,0,0.96,0.96045197740113,0.0
"k=15, uniform",0.1,0,0.96,0.96045197740113,0.0
"k=15, uniform",0.2,0,0.9542857142857143,0.9545454545454546,0.005714285714285714
"k=15, distance",0.0,0,0.9657142857142857,0.9662921348314607,0.0
"k=15, distance",0.05,0,0.9542857142857143,0.9550561797752809,0.011428571428571429
"k=15, distance",0.1,0,0.9542857142857143,0.9550561797752809,0.011428571428571429
"k=15, distance",0.2,0,0.9371428571428572,0.9371428571428572,0.02857142857142857
Выбрано по CV,0.0,0,0.9485714285714286,0.9491525423728814,0.0
Выбрано по CV,0.05,0,0.9485714285714286,0.9491525423728814,0.0
Выбрано по CV,0.1,0,0.9485714285714286,0.9491525423728814,0.0
Выбрано по CV,0.2,0,0.9428571428571428,0.9425287356321839,0.017142857142857144
"k=1, uniform",0.0,1,0.96,0.9613259668508287,0.0
"k=1, uniform",0.05,1,0.9314285714285714,0.9340659340659341,0.04
"k=1, uniform",0.1,1,0.8914285714285715,0.8983957219251337,0.08
"k=1, uniform",0.2,1,0.8057142857142857,0.8152173913043478,0.1657142857142857
"k=15, uniform",0.0,1,0.96,0.9613259668508287,0.0
"k=15, uniform",0.05,1,0.96,0.9613259668508287,0.0
"k=15, uniform",0.1,1,0.96,0.9613259668508287,0.0
"k=15, uniform",0.2,1,0.9542857142857143,0.9560439560439561,0.017142857142857144
"k=15, distance",0.0,1,0.96,0.9613259668508287,0.0
"k=15, distance",0.05,1,0.96,0.9617486338797814,0.011428571428571429
"k=15, distance",0.1,1,0.96,0.9621621621621622,0.022857142857142857
"k=15, distance",0.2,1,0.9485714285714286,0.9513513513513514,0.03428571428571429
Выбрано по CV,0.0,1,0.96,0.9613259668508287,0.0
Выбрано по CV,0.05,1,0.96,0.9613259668508287,0.0
Выбрано по CV,0.1,1,0.96,0.9613259668508287,0.0
Выбрано по CV,0.2,1,0.9542857142857143,0.9560439560439561,0.005714285714285714
"k=1, uniform",0.0,2,0.9257142857142857,0.9265536723163842,0.0
"k=1, uniform",0.05,2,0.8628571428571429,0.8620689655172413,0.06285714285714286
"k=1, uniform",0.1,2,0.8228571428571428,0.8187134502923976,0.10285714285714286
"k=1, uniform",0.2,2,0.7542857142857143,0.7485380116959064,0.18285714285714286
"k=15, uniform",0.0,2,0.9542857142857143,0.9550561797752809,0.0
"k=15, uniform",0.05,2,0.9542857142857143,0.9550561797752809,0.0
"k=15, uniform",0.1,2,0.9485714285714286,0.9491525423728814,0.005714285714285714
"k=15, uniform",0.2,2,0.9371428571428572,0.9371428571428572,0.017142857142857144
"k=15, distance",0.0,2,0.96,0.9608938547486033,0.0
"k=15, distance",0.05,2,0.9542857142857143,0.9550561797752809,0.005714285714285714
"k=15, distance",0.1,2,0.9428571428571428,0.9431818181818182,0.017142857142857144
"k=15, distance",0.2,2,0.9257142857142857,0.9248554913294798,0.03428571428571429
Выбрано по CV,0.0,2,0.9542857142857143,0.9550561797752809,0.0
Выбрано по CV,0.05,2,0.9542857142857143,0.9550561797752809,0.0
Выбрано по CV,0.1,2,0.9485714285714286,0.9491525423728814,0.005714285714285714
Выбрано по CV,0.2,2,0.9257142857142857,0.9239766081871345,0.04
"k=1, uniform",0.0,3,0.9657142857142857,0.9662921348314607,0.0
"k=1, uniform",0.05,3,0.8971428571428571,0.9,0.06857142857142857
"k=1, uniform",0.1,3,0.8514285714285714,0.8555555555555555,0.11428571428571428
"k=1, uniform",0.2,3,0.7428571428571429,0.7457627118644068,0.22285714285714286
"k=15, uniform",0.0,3,0.9828571428571429,0.9832402234636871,0.0
"k=15, uniform",0.05,3,0.9828571428571429,0.9832402234636871,0.0
"k=15, uniform",0.1,3,0.9828571428571429,0.9832402234636871,0.011428571428571429
"k=15, uniform",0.2,3,0.9828571428571429,0.9830508474576272,0.011428571428571429
"k=15, distance",0.0,3,0.9828571428571429,0.9832402234636871,0.0
"k=15, distance",0.05,3,0.9828571428571429,0.9832402234636871,0.0
"k=15, distance",0.1,3,0.9885714285714285,0.9887640449438202,0.005714285714285714
"k=15, distance",0.2,3,0.96,0.9595375722543352,0.03428571428571429
Выбрано по CV,0.0,3,0.9828571428571429,0.9832402234636871,0.0
Выбрано по CV,0.05,3,0.9828571428571429,0.9832402234636871,0.0
Выбрано по CV,0.1,3,0.9771428571428571,0.9777777777777777,0.005714285714285714
Выбрано по CV,0.2,3,0.9657142857142857,0.9662921348314607,0.017142857142857144
"k=1, uniform",0.0,4,0.9371428571428572,0.9378531073446328,0.0
"k=1, uniform",0.05,4,0.9028571428571428,0.9060773480662984,0.03428571428571429
"k=1, uniform",0.1,4,0.8628571428571429,0.8651685393258427,0.08571428571428572
"k=1, uniform",0.2,4,0.7885714285714286,0.7932960893854749,0.17142857142857143
"k=15, uniform",0.0,4,0.9771428571428571,0.9777777777777777,0.0
"k=15, uniform",0.05,4,0.9714285714285714,0.9720670391061452,0.005714285714285714
"k=15, uniform",0.1,4,0.9657142857142857,0.9662921348314607,0.011428571428571429
"k=15, uniform",0.2,4,0.96,0.96045197740113,0.017142857142857144
"k=15, distance",0.0,4,0.9771428571428571,0.9777777777777777,0.0
"k=15, distance",0.05,4,0.9771428571428571,0.9777777777777777,0.0
"k=15, distance",0.1,4,0.96,0.9608938547486033,0.017142857142857144
"k=15, distance",0.2,4,0.9371428571428572,0.9371428571428572,0.04
Выбрано по CV,0.0,4,0.9714285714285714,0.9723756906077348,0.0
Выбрано по CV,0.05,4,0.9657142857142857,0.9666666666666667,0.005714285714285714
Выбрано по CV,0.1,4,0.9657142857142857,0.9662921348314607,0.017142857142857144
Выбрано по CV,0.2,4,0.9714285714285714,0.9717514124293786,0.022857142857142857
"k=1, uniform",0.0,5,0.9485714285714286,0.9497206703910615,0.0
"k=1, uniform",0.05,5,0.8971428571428571,0.8977272727272727,0.05142857142857143
"k=1, uniform",0.1,5,0.8628571428571429,0.8620689655172413,0.08571428571428572
"k=1, uniform",0.2,5,0.6914285714285714,0.6823529411764706,0.2571428571428571
"k=15, uniform",0.0,5,0.9714285714285714,0.9720670391061452,0.0
"k=15, uniform",0.05,5,0.9714285714285714,0.9720670391061452,0.0
"k=15, uniform",0.1,5,0.9771428571428571,0.9777777777777777,0.005714285714285714
"k=15, uniform",0.2,5,0.96,0.96045197740113,0.022857142857142857
"k=15, distance",0.0,5,0.9657142857142857,0.9662921348314607,0.0
"k=15, distance",0.05,5,0.9657142857142857,0.9662921348314607,0.0
"k=15, distance",0.1,5,0.9485714285714286,0.9497206703910615,0.02857142857142857
"k=15, distance",0.2,5,0.8971428571428571,0.9,0.06857142857142857
