degree,train_mse,cv_mse_mean,cv_mse_std,test_mse
0,1458.890719214243,1714.5247378827528,832.1729984468575,1617.0847908929186
1,870.7959620083136,1084.0341375527446,303.4927367677676,883.6858561722205
2,765.3963693509661,1023.9615713812273,404.0756774705818,798.6471581141238
3,764.9295341173992,1076.1401578857099,382.93963222029095,803.9483159829979
4,764.9294170435575,1119.654227057719,366.2366399950199,803.9133854201833
5,762.9313221708866,1260.8157170846002,314.50899670962235,812.0515352065662
6,736.0761330497937,1294.328487288525,362.1809735534142,806.0346488252828
7,683.1801447007414,1134.4771793375644,343.29527230526844,908.8949454386176
8,681.2637730123896,1383.7210799051086,650.3385489098501,880.2936329741784
9,679.566665862296,2029.6720668344394,1784.098311857307,890.5105516327661
