model,noise,accuracy_mean,accuracy_std,f1_mean,f1_std,disagreement_mean
Без ограничений,0.0,0.9492857142857144,0.026816398465081465,0.9491457512755808,0.026767115212819347,0.0
Без ограничений,0.05,0.9064285714285715,0.031597291485440625,0.9065348445001206,0.031068039762934537,0.0642857142857143
Без ограничений,0.1,0.8564285714285715,0.03227000749083654,0.8599033148276165,0.030448817991711397,0.12142857142857141
Без ограничений,0.2,0.7785714285714286,0.04805564265045051,0.7790429697288896,0.04832058827899459,0.21357142857142858
depth=3,0.0,0.89,0.03280643357301855,0.8913479646676803,0.03656963998971684,0.0
depth=3,0.05,0.8907142857142857,0.03186808200869637,0.8929312569344331,0.03070923941545541,0.029285714285714286
depth=3,0.1,0.885,0.03574434824967118,0.8884782529411932,0.03750051295439866,0.04642857142857143
depth=3,0.2,0.8800000000000001,0.02982224459736254,0.883297358570359,0.027142852941626047,0.05714285714285714
depth=5,0.0,0.9471428571428572,0.0254286559092962,0.9466886459759987,0.02572847158864424,0.0
depth=5,0.05,0.9271428571428573,0.024916617122068038,0.927024602131356,0.02416887111294748,0.04285714285714286
depth=5,0.1,0.9064285714285715,0.036634754853252335,0.9063620818645297,0.038223419750642355,0.08071428571428571
depth=5,0.2,0.8664285714285714,0.041267511662286996,0.8666815032978613,0.04491444342671294,0.11642857142857144
leaf=5,0.0,0.947857142857143,0.03657606878457031,0.9474283333361717,0.03839091684399011,0.0
leaf=5,0.05,0.9292857142857143,0.030206948219414644,0.9293601719106632,0.030276869448624285,0.04285714285714286
leaf=5,0.1,0.8942857142857144,0.038051353168851505,0.8941998026991838,0.03809041666396511,0.09642857142857143
leaf=5,0.2,0.8185714285714285,0.04774169668725519,0.8140251272464395,0.05732941775170033,0.1707142857142857
leaf=10,0.0,0.9264285714285714,0.04476337116992239,0.9258379272619536,0.04703661294124675,0.0
leaf=10,0.05,0.9278571428571428,0.03159729148544058,0.9280369672322186,0.03098167283307526,0.04857142857142857
leaf=10,0.1,0.9185714285714285,0.03739647363858659,0.9179643148595467,0.03829212473382759,0.07642857142857143
leaf=10,0.2,0.8771428571428572,0.04713032414857933,0.8763544201784077,0.044580245211627643,0.1207142857142857
Выбрано по CV,0.0,0.9364285714285714,0.03835360381875666,0.9362261383737451,0.03791964747135183,0.0
Выбрано по CV,0.05,0.9078571428571429,0.03972921231906085,0.906277242409468,0.041118159947720195,0.08285714285714285
Выбрано по CV,0.1,0.8778571428571429,0.04457099479256816,0.8734855513027104,0.05191385276745975,0.11714285714285715
Выбрано по CV,0.2,0.795,0.0697201710815392,0.7865104312997355,0.07312577252304882,0.21142857142857144
