model,noise,seed,accuracy,f1,disagreement
Без ограничений,0.0,0,0.9714285714285714,0.9714285714285714,0.0
Без ограничений,0.05,0,0.9285714285714286,0.9230769230769231,0.07142857142857142
Без ограничений,0.1,0,0.8428571428571429,0.8405797101449275,0.15714285714285714
Без ограничений,0.2,0,0.7428571428571429,0.71875,0.2571428571428571
depth=3,0.0,0,0.9142857142857143,0.9090909090909091,0.0
depth=3,0.05,0,0.9142857142857143,0.9090909090909091,0.0
depth=3,0.1,0,0.9285714285714286,0.9295774647887324,0.12857142857142856
depth=3,0.2,0,0.9142857142857143,0.9142857142857143,0.14285714285714285
depth=5,0.0,0,0.9714285714285714,0.9714285714285714,0.0
depth=5,0.05,0,0.9285714285714286,0.9230769230769231,0.07142857142857142
depth=5,0.1,0,0.8857142857142857,0.8823529411764706,0.11428571428571428
depth=5,0.2,0,0.7857142857142857,0.7540983606557377,0.21428571428571427
leaf=5,0.0,0,0.9571428571428572,0.9565217391304348,0.0
leaf=5,0.05,0,0.9571428571428572,0.9565217391304348,0.0
leaf=5,0.1,0,0.8571428571428571,0.8571428571428571,0.15714285714285714
leaf=5,0.2,0,0.7571428571428571,0.7301587301587301,0.2571428571428571
leaf=10,0.0,0,0.9714285714285714,0.9714285714285714,0.0
leaf=10,0.05,0,0.9714285714285714,0.9714285714285714,0.0
leaf=10,0.1,0,0.8714285714285714,0.8695652173913043,0.1
leaf=10,0.2,0,0.7714285714285715,0.7837837837837838,0.22857142857142856
Выбрано по CV,0.0,0,0.9571428571428572,0.9552238805970149,0.0
Выбрано по CV,0.05,0,0.8285714285714286,0.8181818181818182,0.12857142857142856
Выбрано по CV,0.1,0,0.8714285714285714,0.8695652173913043,0.08571428571428572
Выбрано по CV,0.2,0,0.7428571428571429,0.7096774193548387,0.24285714285714285
Без ограничений,0.0,1,0.9285714285714286,0.927536231884058,0.0
Без ограничений,0.05,1,0.9285714285714286,0.9315068493150684,0.08571428571428572
Без ограничений,0.1,1,0.8714285714285714,0.8831168831168831,0.17142857142857143
Без ограничений,0.2,1,0.7714285714285715,0.7837837837837838,0.2714285714285714
depth=3,0.0,1,0.9142857142857143,0.9142857142857143,0.0
depth=3,0.05,1,0.9142857142857143,0.9117647058823529,0.02857142857142857
depth=3,0.1,1,0.9142857142857143,0.9210526315789473,0.08571428571428572
depth=3,0.2,1,0.8857142857142857,0.8787878787878788,0.05714285714285714
depth=5,0.0,1,0.9142857142857143,0.9117647058823529,0.0
depth=5,0.05,1,0.9142857142857143,0.9142857142857143,0.05714285714285714
depth=5,0.1,1,0.9,0.9066666666666666,0.15714285714285714
depth=5,0.2,1,0.8857142857142857,0.8823529411764706,0.05714285714285714
leaf=5,0.0,1,0.9285714285714286,0.927536231884058,0.0
leaf=5,0.05,1,0.9142857142857143,0.9166666666666666,0.07142857142857142
leaf=5,0.1,1,0.9285714285714286,0.9333333333333333,0.11428571428571428
leaf=5,0.2,1,0.8428571428571429,0.8450704225352113,0.11428571428571428
leaf=10,0.0,1,0.9285714285714286,0.927536231884058,0.0
leaf=10,0.05,1,0.9285714285714286,0.927536231884058,0.02857142857142857
leaf=10,0.1,1,0.9714285714285714,0.9722222222222222,0.07142857142857142
leaf=10,0.2,1,0.8714285714285714,0.88,0.14285714285714285
Выбрано по CV,0.0,1,0.9571428571428572,0.9565217391304348,0.0
Выбрано по CV,0.05,1,0.9,0.8985507246376812,0.08571428571428572
Выбрано по CV,0.1,1,0.9142857142857143,0.9142857142857143,0.1
Выбрано по CV,0.2,1,0.7428571428571429,0.7428571428571429,0.3
Без ограничений,0.0,2,0.9285714285714286,0.9315068493150684,0.0
Без ограничений,0.05,2,0.9,0.9041095890410958,0.05714285714285714
Без ограничений,0.1,2,0.8285714285714286,0.85,0.12857142857142856
Без ограничений,0.2,2,0.8,0.8108108108108109,0.21428571428571427
depth=3,0.0,2,0.8571428571428571,0.8717948717948718,0.0
depth=3,0.05,2,0.8571428571428571,0.875,0.02857142857142857
depth=3,0.1,2,0.8571428571428571,0.875,0.02857142857142857
depth=3,0.2,2,0.8142857142857143,0.8433734939759037,0.07142857142857142
depth=5,0.0,2,0.9285714285714286,0.9315068493150684,0.0
depth=5,0.05,2,0.9142857142857143,0.918918918918919,0.04285714285714286
depth=5,0.1,2,0.9428571428571428,0.9459459459459459,0.07142857142857142
depth=5,0.2,2,0.9142857142857143,0.9210526315789473,0.1
leaf=5,0.0,2,0.9285714285714286,0.9333333333333333,0.0
leaf=5,0.05,2,0.9142857142857143,0.918918918918919,0.014285714285714285
leaf=5,0.1,2,0.9428571428571428,0.9459459459459459,0.04285714285714286
leaf=5,0.2,2,0.8285714285714286,0.8378378378378378,0.15714285714285714
leaf=10,0.0,2,0.9142857142857143,0.9166666666666666,0.0
leaf=10,0.05,2,0.9142857142857143,0.9166666666666666,0.0
leaf=10,0.1,2,0.9,0.9090909090909091,0.12857142857142856
leaf=10,0.2,2,0.8714285714285714,0.8695652173913043,0.12857142857142856
Выбрано по CV,0.0,2,0.9285714285714286,0.927536231884058,0.0
Выбрано по CV,0.05,2,0.9,0.8985507246376812,0.08571428571428572
Выбрано по CV,0.1,2,0.8714285714285714,0.8767123287671232,0.14285714285714285
Выбрано по CV,0.2,2,0.6285714285714286,0.6176470588235294,0.38571428571428573
Без ограничений,0.0,3,0.9285714285714286,0.927536231884058,0.0
Без ограничений,0.05,3,0.9428571428571428,0.9411764705882353,0.014285714285714285
Без ограничений,0.1,3,0.8857142857142857,0.8857142857142857,0.1
Без ограничений,0.2,3,0.7857142857142857,0.782608695652174,0.2
depth=3,0.0,3,0.9285714285714286,0.9315068493150684,0.0
depth=3,0.05,3,0.9285714285714286,0.9315068493150684,0.0
depth=3,0.1,3,0.9285714285714286,0.9315068493150684,0.0
depth=3,0.2,3,0.9285714285714286,0.9315068493150684,0.0
depth=5,0.0,3,0.9428571428571428,0.9428571428571428,0.0
depth=5,0.05,3,0.9571428571428572,0.9565217391304348,0.014285714285714285
depth=5,0.1,3,0.9285714285714286,0.9230769230769231,0.07142857142857142
depth=5,0.2,3,0.9,0.8955223880597015,0.1
leaf=5,0.0,3,0.9428571428571428,0.9459459459459459,0.0
leaf=5,0.05,3,0.9428571428571428,0.9444444444444444,0.02857142857142857
leaf=5,0.1,3,0.9285714285714286,0.9230769230769231,0.12857142857142856
leaf=5,0.2,3,0.8142857142857143,0.8059701492537313,0.18571428571428572
leaf=10,0.0,3,0.9285714285714286,0.927536231884058,0.0
leaf=10,0.05,3,0.9285714285714286,0.9253731343283582,0.02857142857142857
leaf=10,0.1,3,0.9428571428571428,0.9393939393939394,0.04285714285714286
leaf=10,0.2,3,0.9,0.8888888888888888,0.08571428571428572
